LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-08,14:59:00,482
2016-06-08,15:14:00,514
2016-06-08,15:29:00,470
2016-06-08,15:44:00,474
2016-06-08,15:59:00,497
2016-06-08,16:14:00,673
2016-06-08,16:29:00,620
2016-06-08,16:44:00,659
2016-06-08,16:59:00,673
2016-06-08,17:14:00,800
2016-06-08,17:29:00,754
2016-06-08,17:44:00,780
2016-06-08,17:59:00,697
2016-06-08,18:14:00,699
2016-06-08,18:29:00,592
2016-06-08,18:44:00,567
2016-06-08,18:59:00,491
2016-06-08,19:14:00,488
2016-06-08,19:29:00,385
2016-06-08,19:44:00,366
2016-06-08,19:59:00,344
2016-06-08,20:14:00,347
2016-06-08,20:29:00,343
2016-06-08,20:44:00,362
2016-06-08,20:59:00,306
2016-06-08,21:14:00,357
2016-06-08,21:29:00,284
2016-06-08,21:44:00,326
2016-06-08,21:59:00,301
2016-06-08,22:14:00,227
2016-06-08,22:29:00,193
2016-06-08,22:44:00,214
2016-06-08,22:59:00,208
2016-06-08,23:14:00,173
2016-06-08,23:29:00,167
2016-06-08,23:44:00,119
2016-06-08,23:59:00,128
2016-06-09,00:14:00,148
2016-06-09,00:29:00,177
2016-06-09,00:44:00,111
2016-06-09,00:59:00,106
2016-06-09,01:14:00,84
2016-06-09,01:29:00,102
2016-06-09,01:44:00,117
2016-06-09,01:59:00,111
2016-06-09,02:14:00,71
2016-06-09,02:29:00,62
2016-06-09,02:44:00,51
2016-06-09,02:59:00,50
2016-06-09,03:14:00,50
2016-06-09,03:29:00,43
2016-06-09,03:44:00,60
2016-06-09,03:59:00,68
2016-06-09,04:14:00,86
2016-06-09,04:29:00,70
2016-06-09,04:44:00,147
2016-06-09,04:59:00,175
2016-06-09,05:14:00,214
2016-06-09,05:29:00,295
2016-06-09,05:44:00,450
2016-06-09,05:59:00,515
2016-06-09,06:14:00,568
2016-06-09,06:29:00,612
2016-06-09,06:44:00,563
2016-06-09,06:59:00,513
2016-06-09,07:14:00,580
2016-06-09,07:29:00,577
2016-06-09,07:44:00,626
2016-06-09,07:59:00,570
2016-06-09,08:14:00,560
2016-06-09,08:29:00,570
2016-06-09,08:44:00,506
2016-06-09,08:59:00,500
2016-06-09,09:14:00,555
2016-06-09,09:29:00,594
2016-06-09,09:44:00,457
2016-06-09,09:59:00,364
2016-06-09,10:14:00,360
2016-06-09,10:29:00,344
2016-06-09,10:44:00,390
2016-06-09,10:59:00,334
2016-06-09,11:14:00,378
2016-06-09,11:29:00,386
2016-06-09,11:44:00,381
2016-06-09,11:59:00,371
2016-06-09,12:14:00,370
2016-06-09,12:29:00,392
2016-06-09,12:44:00,391
2016-06-09,12:59:00,386
2016-06-09,13:14:00,441
2016-06-09,13:29:00,498
2016-06-09,13:44:00,436
2016-06-09,13:59:00,418
2016-06-09,14:14:00,444
2016-06-09,14:29:00,471
2016-06-09,14:44:00,474
2016-06-09,14:59:00,472
2016-06-09,15:14:00,555
2016-06-09,15:29:00,547
2016-06-09,15:44:00,623
2016-06-09,15:59:00,560
2016-06-09,16:14:00,616
2016-06-09,16:29:00,654
2016-06-09,16:44:00,723
2016-06-09,16:59:00,641
2016-06-09,17:14:00,719
2016-06-09,17:29:00,703
2016-06-09,17:44:00,690
2016-06-09,17:59:00,729
2016-06-09,18:14:00,625
2016-06-09,18:29:00,596
2016-06-09,18:44:00,472
2016-06-09,18:59:00,437
2016-06-09,19:14:00,397
2016-06-09,19:29:00,402
2016-06-09,19:44:00,372
2016-06-09,19:59:00,390
2016-06-09,20:14:00,375
2016-06-09,20:29:00,391
2016-06-09,20:44:00,374
2016-06-09,20:59:00,323
2016-06-09,21:14:00,335
2016-06-09,21:29:00,280
2016-06-09,21:44:00,253
2016-06-09,21:59:00,217
2016-06-09,22:14:00,195
2016-06-09,22:29:00,183
2016-06-09,22:44:00,192
2016-06-09,22:59:00,172
2016-06-09,23:14:00,199
2016-06-09,23:29:00,237
2016-06-09,23:44:00,168
2016-06-09,23:59:00,130
2016-06-10,00:14:00,164
2016-06-10,00:29:00,140
2016-06-10,00:44:00,116
2016-06-10,00:59:00,124
2016-06-10,01:14:00,123
2016-06-10,01:29:00,46
2016-06-10,01:44:00,35
2016-06-10,01:59:00,62
2016-06-10,02:14:00,99
2016-06-10,02:29:00,95
2016-06-10,02:44:00,63
2016-06-10,02:59:00,82
2016-06-10,03:14:00,89
2016-06-10,03:29:00,77
2016-06-10,03:44:00,61
2016-06-10,03:59:00,79
2016-06-10,04:14:00,103
2016-06-10,04:29:00,137
2016-06-10,04:44:00,153
2016-06-10,04:59:00,191
